timestamp,request,response-header,scheme,port,path,body-sha256,header-sha256,a,cnames,url,input,location,title,error,webserver,response-body,content-type,method,host,content-length,chain-status-codes,status-code,tls-grab,csp,vhost,websocket,pipeline,http2,cdn,response-time,technologies,chain,final-url,failed,favicon-mmh3,lines,words
2022-02-24 17:45:25.291811 +0800 CST m=+1.210207120,,,https,443,/,d66373c1a1556f706ad83e2c7673ea4d506d8ee4c87dc8fded54fc7956236375,5d5022dde11493dc050fe272c417adfece15e2ad486f0bde03680f94b8a04362,[101.89.49.159],[],https://test1.guyu.qq.com:443,test1.guyu.qq.com,,403 Forbidden,,openresty/1.16.1.1,,text/html,GET,101.89.49.159,561,[],403,<nil>,<nil>,false,false,false,false,false,97.204975ms,[Nginx OpenResty],[],,false,,14,69
2022-02-24 17:45:25.4166 +0800 CST m=+1.334996582,,,https,443,/,31a51557b35d8c2037c95b7037fc4752fcf9bfc42a37a4fc3d76ba664a8ae035,9354b630ce28373db8e00f6f7d362ec4c8de5cb4a14487f5a8f2bf9908aad7db,[175.24.218.237],[],https://bee.qq.com:443,bee.qq.com,,Layer 1,,secnginx/1.14.1,,text/html,GET,175.24.218.237,2393,[],406,<nil>,<nil>,false,false,false,false,false,68.967836ms,[Nginx PHP],[],,false,,28,118
2022-02-24 17:45:25.497734 +0800 CST m=+1.416130790,,,https,443,/,80d32e2c3b6e0d53d17d9313a35912ae4b28f147c999dc4199f905e7684b9e85,3d82df4f96fce01f101fd0da6421d103ebfc82f72d8c4f37846eddeb8d3459e7,[119.147.4.118],[],https://tdump.gamesafe.qq.com:443,tdump.gamesafe.qq.com,,业务安全——客户端质量平台,,nginx/1.10.3,,text/html,GET,119.147.4.118,1050,[],200,<nil>,<nil>,false,false,false,false,false,153.236668ms,[Nginx],[],,false,,22,79
2022-02-24 17:45:25.505439 +0800 CST m=+1.423835704,,,https,443,/,260b0f2d1f67fb13e7b0075036d6ba0ee362b230fd74ea9ec9906a788c55de3e,e8603f0b42d5cef60a4400d6b787235385b0cf6f275e48143fa9335f500b4237,[58.216.96.32 58.216.96.14 58.216.96.15 58.216.96.38],[speed.qq.com.cloud.tc.qq.com speed.qq.com.x2v6.sched.dcloudstc.com],https://speed.qq.com:443,speed.qq.com,,QQ飞车官网 QQ飞车官方网站-腾讯游戏-竞速网游王者 突破300万同时在线,,nginx,,text/html,GET,58.216.96.32,24472,[],200,<nil>,<nil>,false,false,false,false,false,110.670432ms,[Nginx],[],,false,,1018,1263
2022-02-24 17:45:25.7485 +0800 CST m=+1.666896812,,,https,443,/,3f3138bd7604fe768b926d2c9be0c7286b7de69f92775f4206168d2860e037b7,0437a3edc7482a715d12015190502463b5fa31ab9d1b0c3beb7b263a6c1bfb03,[61.129.7.18],[],https://court.gamesafe.qq.com:443,court.gamesafe.qq.com,,,,nginx,,text/html,GET,61.129.7.18,15,[],200,<nil>,<nil>,false,false,false,false,false,85.35861ms,[Nginx],[],,false,,1,1
2022-02-24 17:45:25.793175 +0800 CST m=+1.711571736,,,https,443,/,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ec6a8b0792234f7f9b6f6cd27a026550f050fee5f49947eee29c8c80e841c29f,[101.227.162.80],[gamebbs.qq.com newgamebbs.qq.com],https://hxsj.gamebbs.qq.com:443,hxsj.gamebbs.qq.com,forum.php,,,Apache,,text/html,GET,101.227.162.80,0,[],301,<nil>,<nil>,false,false,false,false,false,66.25812ms,[Apache PHP],[],,false,,1,1
2022-02-24 17:45:25.793182 +0800 CST m=+1.711579452,,,https,443,/,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,daf54b047ebf9ac30e5f45af4d54ead8328a29a0c9da1a26b1bf949cc5284c0d,[180.153.99.225 180.153.99.253 180.153.99.238 180.153.99.233 180.153.99.59 180.153.99.62],[imtt.dd.tc.qq.com imtt.dd.qq.com.tcdn.qq.com imttdd.legodlied1-dk.sched.dcloudstc.com],https://imtt.dd.qq.com:443,imtt.dd.qq.com,https://012e061b1e5b97aa587f548eca16d641.rdt.tfogc.com:49156/imtt.dd.qq.com/?mkey=621775409163bf41e4a23ffc8c5240d1&arrive_key=124932998416&cip=101.93.221.168&proto=https,,,BEIDOU_REDIRECT,,text/html,GET,180.153.99.225,0,[],302,<nil>,<nil>,false,false,false,false,false,127.823591ms,[],[],,false,,1,1
2022-02-24 17:45:25.836126 +0800 CST m=+1.754523052,,,https,443,/,fb47468a2cd3953c7131431991afcc6a2703f14640520102eea0a685a7e8d6de,a9370013a89c345717b6efb8e6181f935317bf99f15615f211dae63865e37be5,[101.226.211.141],[],https://ti.qq.com:443,ti.qq.com,,Welcome to nginx!,,nginx/1.21.6,,text/html,GET,101.226.211.141,615,[],200,<nil>,<nil>,false,false,false,false,false,164.381581ms,[Nginx],[],,false,,24,55
2022-02-24 17:45:25.850034 +0800 CST m=+1.768430977,,,https,443,/,b1e5fc0c284e4b731279af7c700e87572a938d50cd905cb9c2d45ddbc7ba124d,e9f611cc1c8f6103576d0bed6002b457ea350b61dcd963efe6c9eb11e73210ce,[119.147.4.106],[],https://dump.gamesafe.qq.com:443,dump.gamesafe.qq.com,,404 Not Found,,nginx/1.10.3,,text/html,GET,119.147.4.106,571,[],404,<nil>,<nil>,false,false,false,false,false,185.399113ms,[Nginx],[],,false,,14,72
2022-02-24 17:45:25.885855 +0800 CST m=+1.804252308,,,https,443,/,3bf92c745f35c05923a6301571219d556c75bdf9f80b9a8d3c4166894e9a546a,6e5e64116f4fc60f46566d4dc0a029a86361b2c29b337eb9bda611453662ad58,[119.147.4.118],[],https://developers.huiwan.qq.com:443,developers.huiwan.qq.com,,会玩 开发者平台,,nginx/1.10.3,,text/html,GET,119.147.4.118,9261,[],200,<nil>,<nil>,false,false,false,false,false,204.855599ms,[Nginx animate.css],[],,false,,223,1765
